naam;latijnse_naam;Waterbehoefte;Lichtbehoefte;Groeihoogte_cm;verkoopprijs_eur;standplaats;voorraad;bloeitijd;kleur;huisdier_vriendelijk;overview_image;additional_image1;additional_image2
Gatenplant Variegata Sky;placeholder;Laag;Halfschaduw;243;188.91;Buitenplanten;181;Herfst;Groen;Ja;retro_chic.jpg;wholesome.jpg;
Gatenplant Variegata Ocean;placeholder;Laag;Veel licht;161;159.53;Kamerplanten;115;Jaarrond;Geel;Ja;begonia_space_age_triton_tag.jpg;cuphea_totally_tempted_watermelon_wine_grande.jpg;
Gatenplant Variegata Frost;placeholder;Hoog;Veel licht;174;128.46;Buitenplanten;13;Winter;Geel;Nee;lobularia_white_knight_12827_tag.jpg;brushstrokes.jpg;
Gatenplant Variegata Summer;placeholder;Laag;Schaduw;230;7.54;Tussenvariant;64;Jaarrond;Roze;Nee;begonia_space_age_triton_mono.jpg;dahlia_virtuoso_rad_raz_mono.jpg;
Gatenplant Variegata Autumn;placeholder;Laag;Veel licht;20;155.47;Buitenplanten;67;Lente;Paars;Ja;dahlia_virtuoso_vibrant_violet_mono.jpg;lobelia_laguna_royale_azure_12820_mono.jpg;
Gatenplant Variegata Winter;placeholder;Laag;Veel licht;152;159.03;Tussenvariant;169;Jaarrond;Geel;Nee;ipomoea_upside_key_lime_newtagimage.png;caladium_heart_to_heart_creme_brulee_12829_tag.jpg;
Gatenplant Variegata Spring;placeholder;Hoog;Halfschaduw;157;76.59;Kamerplanten;97;Zomer;Groen;Ja;lobularia_white_knight_12827_mono.jpg;carex_graceful_grasses_toffee_twist_co-ex_grande25_0.jpg;
Gatenplant Variegata Elite;placeholder;Gemiddeld;Schaduw;22;40.56;Tussenvariant;40;Herfst;Groen;Ja;caladium_heart_to_heart_creme_brulee_12829_tag.jpg;called_your_bluff_0.jpg;
Gatenplant Variegata Prime;placeholder;Gemiddeld;Halfschaduw;249;108.81;Kamerplanten;124;Herfst;Blauw;Nee;bold_symphony.png;salvia_unplugged_red_mono.jpg;
Gatenplant Variegata Natural;placeholder;Laag;Schaduw;173;17.49;Tussenvariant;149;Jaarrond;Geel;Ja;emerald_isle_alocasia-4640x6960-85b4e9f.jpg;angelonia_angelface_white_mono_25.jpg;scaevola_stardiva_pink_tag.jpg
Gatenplant Variegata Botanic;placeholder;Hoog;Veel licht;75;44.17;Buitenplanten;110;Jaarrond;Groen;Ja;whimsy.jpg;bidens_campfire_red_ember_12816_tag.jpg;mother_earth-1201x1196-99fe97e.jpg
Gatenplant Variegata Lush;placeholder;Laag;Veel licht;245;119.43;Buitenplanten;94;Jaarrond;Oranje;Ja;begonia_space_age_europa_macro_02.jpg;lobularia_white_knight_12827_tag.jpg;lobelia_laguna_royale_pink_12819_mono.jpg
Gatenplant Variegata Fresh;placeholder;Gemiddeld;Veel licht;203;153.77;Tussenvariant;171;Jaarrond;Roze;Ja;capri_berry-1200x983-1a8c6ff.jpg;cayenne_pc-1133x1200-95d6dc9.jpg;only_vogue.jpg
Gatenplant Variegata Zen;placeholder;Laag;Veel licht;15;68.76;Tussenvariant;86;Lente;Paars;Nee;salvia_unplugged_white_ecogrande_1.jpg;begonia_space_age_triton_macro_03.jpg;coleus_colorblaze_mini_me_chartreuse_mono.jpg
Gatenplant Variegata Wild;placeholder;Gemiddeld;Halfschaduw;57;68.17;Tussenvariant;161;Zomer;Roze;Ja;scaevola_stardiva_pink_mono.jpg;supertunia_mini_vista_plum_veined_mono.jpg;begonia_surefire_cascade_red_12825_mono.jpg
Gatenplant Variegata Soft;placeholder;Gemiddeld;Halfschaduw;265;133.48;Kamerplanten;77;Herfst;Geel;Nee;scaevola_stardiva_blue_ecogrande.jpg;bidens_campfire_red_ember_12816_tag.jpg;called_your_bluff_0.jpg
Gatenplant Variegata Bright;placeholder;Gemiddeld;Halfschaduw;209;107.83;Kamerplanten;51;Herfst;Geel;Nee;wholesome.jpg;ipomoea_upside_key_lime_newtagimage.png;supertunia_mini_vista_plum_veined_mono.jpg
Gatenplant Variegata Calm;placeholder;Gemiddeld;Schaduw;297;183.97;Buitenplanten;132;Herfst;Roze;Ja;begonia_space_age_triton_mono.jpg;begonia_space_age_europa_mono.jpg;begonia_space_age_triton_mono.jpg
Gatenplant Compacta Select;placeholder;Gemiddeld;Halfschaduw;153;116.37;Tussenvariant;175;Lente;Wit;Ja;scaevola_whirlwind_white_12305_mono.jpg;pixie_powder_with_thriller_scene.jpg;angelonia_angelface_white_ecogrande25.jpg
Gatenplant Compacta Beauty;placeholder;Hoog;Schaduw;217;88.71;Kamerplanten;16;Lente;Rood;Ja;dahlia_virtuoso_classy_carmine_ecogrande_0.jpg;supertunia_bermuda_beach_tag_25.jpg;supertunia_blue_tiara_tag_rgb.jpg
Gatenplant Compacta Princess;placeholder;Hoog;Schaduw;90;21.91;Buitenplanten;102;Herfst;Wit;Ja;dahlia_virtuoso_dayglo_yellow_grande.jpg;angelonia_angelface_white_mono.jpg;bold_symphony.png
Gatenplant Compacta King;placeholder;Laag;Schaduw;272;66.84;Buitenplanten;162;Jaarrond;Paars;Ja;supertunia_bermuda_beach_tag_25.jpg;phlox_southern_blaze_bright_pink_12828_mono.jpg;emerald_isle_alocasia-4640x6960-85b4e9f.jpg
Gatenplant Compacta Queen;placeholder;Gemiddeld;Veel licht;19;151.43;Buitenplanten;115;Zomer;Wit;Ja;supertunia_mini_vista_plum_veined_tag.jpg;scaevola_stardiva_pink_tag.jpg;coleus_colorblaze_mini_me_chartreuse_mono.jpg
Gatenplant Compacta Gem;placeholder;Gemiddeld;Halfschaduw;118;62.64;Kamerplanten;143;Herfst;Roze;Nee;scaevola_stardiva_white_mono.jpg;dahlia_virtuoso_dayglo_yellow_grande.jpg;begonia_surefire_cascade_red_12825_mono.jpg
Gatenplant Compacta Delight;placeholder;Gemiddeld;Schaduw;45;63.97;Tussenvariant;135;Zomer;Blauw;Nee;begonia_surefire_cascade_red_12825_mono.jpg;dahlia_virtuoso_dayglo_yellow_tag.jpg;yard_makeover_121-600x400-d9c3bb2.jpg
Gatenplant Compacta Flame;placeholder;Gemiddeld;Veel licht;79;130.0;Tussenvariant;187;Zomer;Roze;Nee;dahlia_virtuoso_dayglo_yellow_tag.jpg;begonia_surefire_cascade_red_12825_mono.jpg;cuphea_totally_tempted_watermelon_wine_grande.jpg
Gatenplant Compacta Mist;placeholder;Gemiddeld;Halfschaduw;101;143.26;Buitenplanten;61;Winter;Rood;Ja;dancing_with_the_moon.jpg;salvia_unplugged_red_tag.jpg;heliotropium_aromagica_purple_tag.jpg
Gatenplant Compacta Pearl;placeholder;Gemiddeld;Veel licht;19;157.6;Buitenplanten;94;Herfst;Paars;Nee;heliotropium_aromagica_purple_mono.jpg;supertunia_mini_vista_plum_veined_tag.jpg;eclectic_elegance.jpg
Gatenplant Compacta Glow;placeholder;Hoog;Halfschaduw;179;117.9;Kamerplanten;97;Zomer;Rood;Ja;dahlia_virtuoso_dayglo_yellow_grande.jpg;begonia_space_age_triton_ecogrande.jpg;crisp_and_clear.jpg
Gatenplant Compacta Charm;placeholder;Hoog;Halfschaduw;107;32.43;Buitenplanten;146;Jaarrond;Groen;Ja;scaevola_stardiva_white_tag.jpg;angelonia_angelface_white_grande_25.jpg;dahlia_virtuoso_pinkerific_macro_02.jpg
Gatenplant Compacta Dream;placeholder;Gemiddeld;Schaduw;227;52.94;Kamerplanten;73;Winter;Geel;Nee;agastache_maestro_gold_mono.jpg;begonia_space_age_triton_macro_03.jpg;scaevola_stardiva_white_co-ex_grande.jpg
Gatenplant Compacta Classic;placeholder;Gemiddeld;Halfschaduw;34;182.21;Buitenplanten;184;Jaarrond;Wit;Ja;agastache_maestro_coral_co-ex_grande.jpg;artisan_attire.jpg;polar_peach_w-thriller_scene.jpg
Gatenplant Compacta Royal;placeholder;Laag;Halfschaduw;122;29.22;Tussenvariant;41;Winter;Geel;Ja;cuphea_totally_tempted_richly_red_mono.jpg;crisp_and_clear.jpg;dahlia_virtuoso_classy_carmine_tag.jpg
Gatenplant Compacta Sunrise;placeholder;Laag;Halfschaduw;242;113.41;Kamerplanten;146;Zomer;Roze;Ja;tropical_twist.jpg;caladium_heart_to_heart_midnight_oil_12831_tag.jpg;tropical_twist.jpg
Gatenplant Compacta Sunset;placeholder;Laag;Veel licht;44;156.31;Kamerplanten;10;Zomer;Groen;Nee;brushstrokes.jpg;cuphea_totally_tempted_richly_red_grande.jpg;saffron_sunrise_basket.jpg
Gatenplant Compacta Snow;placeholder;Gemiddeld;Veel licht;147;117.64;Buitenplanten;109;Jaarrond;Rood;Ja;pixie_powder_with_thriller_scene.jpg;portulaca_mojave_mango_mono.jpg;nemesia_bluebird_mono.jpg
Gatenplant Compacta Emerald;placeholder;Hoog;Halfschaduw;203;28.95;Buitenplanten;187;Lente;Wit;Nee;salvia_unplugged_white_tag.jpg;cuphea_totally_tempted_frosted_violet_grande_01_0.jpg;cuphea_totally_tempted_frosted_violet_co-ex_grande_01.jpg
Gatenplant Compacta Ruby;placeholder;Gemiddeld;Halfschaduw;152;33.01;Kamerplanten;114;Winter;Wit;Nee;scaevola_stardiva_blue_co-ex_grande.jpg;i_got_you.jpg;sunshine_state_w-thriller_scene-4480x6720-a4f0068.jpg
Gatenplant Compacta Sapphire;placeholder;Gemiddeld;Schaduw;92;139.59;Buitenplanten;157;Lente;Geel;Ja;pixie_powder_basket.jpg;angelonia_angelface_white_tag_25.jpg;last_night.jpg
Gatenplant Compacta Moon;placeholder;Gemiddeld;Veel licht;130;30.08;Tussenvariant;81;Zomer;Blauw;Ja;ipomoea_sweet_caroline_sweetheart_shadowstorm_12823_mono.jpg;capri_berry-1200x983-1a8c6ff.jpg;dahlia_virtuoso_vibrant_violet_mono.jpg
Gatenplant Compacta Spirit;placeholder;Laag;Halfschaduw;64;78.33;Kamerplanten;108;Lente;Geel;Ja;supertunia_bermuda_beach_co-ex_grande_25.jpg;berry_express.jpg;dahlia_virtuoso_pinkerific_tag_0.jpg
Gatenplant Compacta Grace;placeholder;Gemiddeld;Halfschaduw;189;160.38;Kamerplanten;115;Jaarrond;Oranje;Ja;style_oasis.jpg;moonlit_lavender_basket.jpg;dahlia_virtuoso_vibrant_violet_tag.jpg
Gatenplant Compacta Harmony;placeholder;Laag;Halfschaduw;196;24.11;Kamerplanten;78;Zomer;Roze;Ja;carex_graceful_grasses_toffee_twist_co-ex_grande25.jpg;;vista_view_basket.jpg
Gatenplant Compacta Wonder;placeholder;Laag;Halfschaduw;178;19.24;Buitenplanten;63;Jaarrond;Wit;Ja;heliotropium_aromagica_purple_tag.jpg;;blossom_house.jpg
Gatenplant Compacta Magic;placeholder;Hoog;Halfschaduw;46;89.38;Tussenvariant;139;Jaarrond;Wit;Ja;supertunia_vista_cool_jazz_12821_mono.jpg;;scaevola_stardiva_blue_tag.jpg
Gatenplant Compacta Velour;placeholder;Laag;Veel licht;112;78.94;Kamerplanten;135;Zomer;Wit;Ja;begonia_space_age_europa_ecogrande.jpg;;american_blues.jpg
Gatenplant Compacta Crown;placeholder;Gemiddeld;Halfschaduw;72;52.72;Kamerplanten;124;Jaarrond;Wit;Nee;tell_it_to_my_heart-925x1200-7c361cb.jpg;;ipomoea_upside_black_coffee_newtagimage.png
Gatenplant Compacta Bloom;placeholder;Gemiddeld;Halfschaduw;264;95.18;Tussenvariant;173;Lente;Oranje;Nee;scaevola_stardiva_pink_co-ex_grande.jpg;;portulaca_mojave_fuchsia_co-ex_grande_25.jpg
Gatenplant Compacta Blush;placeholder;Hoog;Veel licht;35;152.25;Tussenvariant;87;Zomer;Roze;Nee;angelonia_angelface_white_mono_25.jpg;;coleus_colorblaze_mini_me_chartreuse_tag.jpg
Gatenplant Compacta Forest;placeholder;Gemiddeld;Veel licht;27;73.03;Kamerplanten;147;Zomer;Roze;Ja;coleus_colorblaze_mini_me_chartreuse_ecogrande.jpg;;
Gatenplant Compacta Sky;placeholder;Laag;Veel licht;186;63.76;Buitenplanten;65;Jaarrond;Blauw;Ja;angelonia_angelface_white_grande_25.jpg;;
Gatenplant Compacta Ocean;placeholder;Laag;Schaduw;28;102.21;Kamerplanten;140;Winter;Roze;Nee;dahlia_virtuoso_pinkerific_tag_0.jpg;;
Gatenplant Compacta Frost;placeholder;Gemiddeld;Halfschaduw;61;102.53;Buitenplanten;48;Jaarrond;Wit;Nee;blossom_house.jpg;begonia_space_age_black_hole_tag.jpg;
Gatenplant Compacta Summer;placeholder;Laag;Halfschaduw;277;94.64;Tussenvariant;164;Herfst;Paars;Ja;eclectic_elegance.jpg;dahlia_virtuoso_classy_carmine_ecogrande.jpg;
Gatenplant Compacta Autumn;placeholder;Laag;Halfschaduw;131;115.84;Buitenplanten;36;Herfst;Groen;Nee;twilight_fireworks.png;ipomoea_sweet_caroline_medusa_black_12824_tag.jpg;
Gatenplant Compacta Winter;placeholder;Laag;Schaduw;78;160.25;Kamerplanten;131;Herfst;Wit;Nee;caladium_heart_to_heart_midnight_oil_12831_tag.jpg;dahlia_virtuoso_rad_raz_ecogrande_0.jpg;
Gatenplant Compacta Spring;placeholder;Laag;Schaduw;101;122.34;Tussenvariant;93;Lente;Blauw;Nee;dahlia_virtuoso_classy_carmine_tag.jpg;begonia_space_age_triton_mono.jpg;
Gatenplant Compacta Elite;placeholder;Gemiddeld;Schaduw;45;181.11;Tussenvariant;84;Jaarrond;Rood;Ja;begonia_surefire_cascade_red_12825_mono.jpg;saffron_sunrise_basket.jpg;
Gatenplant Compacta Prime;placeholder;Gemiddeld;Schaduw;103;152.2;Buitenplanten;169;Winter;Oranje;Ja;portulaca_mojave_fuchsia_ecogrande_25.jpg;lobularia_white_knight_12827_mono.jpg;
Gatenplant Compacta Natural;placeholder;Gemiddeld;Veel licht;131;141.6;Kamerplanten;127;Zomer;Groen;Nee;begonia_space_age_europa_macro_02.jpg;begonia_space_age_europa_co-ex_grande.jpg;
Gatenplant Compacta Botanic;placeholder;Gemiddeld;Veel licht;189;50.52;Buitenplanten;44;Winter;Blauw;Ja;only_vogue.jpg;dahlia_virtuoso_vibrant_violet_grande.jpg;
Gatenplant Compacta Lush;placeholder;Laag;Veel licht;155;94.46;Buitenplanten;11;Winter;Roze;Nee;caladium_heart_to_heart_midnight_oil_12831_tag.jpg;dahlia_virtuoso_vibrant_violet_tag.jpg;crisp_and_clean.jpg
Gatenplant Compacta Fresh;placeholder;Gemiddeld;Veel licht;104;110.14;Buitenplanten;159;Zomer;Rood;Ja;supertunia_mini_vista_pink_cloud_12822_tag.jpg;supertunia_mini_vista_pink_cloud_12822_tag.jpg;scaevola_stardiva_white_co-ex_grande.jpg
Gatenplant Compacta Zen;placeholder;Gemiddeld;Schaduw;59;62.1;Kamerplanten;69;Winter;Paars;Ja;supertunia_bermuda_beach_ecogrande_25.jpg;alocasia_heart_to_heart_emerald_isle_mono.jpg;lobelia_laguna_royale_lilac_12818_tag.jpg
Gatenplant Compacta Wild;placeholder;Laag;Halfschaduw;168;128.78;Buitenplanten;69;Zomer;Roze;Nee;begonia_space_age_triton_ecogrande.jpg;supertunia_mini_vista_plum_veined_ecogrande_1.jpg;carex_graceful_grasses_toffee_twist_tag_25.jpg
Gatenplant Compacta Soft;placeholder;Gemiddeld;Veel licht;153;157.99;Kamerplanten;180;Herfst;Blauw;Ja;dahlia_virtuoso_classy_carmine_tag.jpg;dahlia_virtuoso_rad_raz_ecogrande_0.jpg;fashion_canvas_0.jpg
Gatenplant Compacta Bright;placeholder;Laag;Veel licht;297;65.88;Tussenvariant;117;Zomer;Groen;Ja;guaranteed_success.jpg;retro_chic.jpg;style_oasis.jpg
Gatenplant Compacta Calm;placeholder;Gemiddeld;Schaduw;298;186.41;Kamerplanten;132;Zomer;Roze;Nee;hold_me_tight_recipe_in_legacy_stone_boston_urn_greige_stone_02.jpg;coleus_colorblaze_mini_me_chartreuse_tag.jpg;scaevola_stardiva_white_ecogrande.jpg
Gatenplant Grandiflora Select;placeholder;Hoog;Halfschaduw;132;84.76;Kamerplanten;199;Herfst;Oranje;Ja;ipomoea_sweet_caroline_medusa_black_12824_tag.jpg;heliotropium_aromagica_purple_tag.jpg;emerald_isle_alocasia-4640x6960-85b4e9f.jpg
Gatenplant Grandiflora Beauty;placeholder;Hoog;Veel licht;105;188.93;Kamerplanten;124;Lente;Roze;Nee;agastache_maestro_coral_mono.jpg;i_got_you.jpg;capri_berry-1200x983-1a8c6ff.jpg
Gatenplant Grandiflora Princess;placeholder;Gemiddeld;Veel licht;261;29.51;Kamerplanten;119;Lente;Rood;Nee;yard_makeover_121-600x400-d9c3bb2.jpg;cuphea_totally_tempted_richly_red_mono.jpg;dahlia_virtuoso_pinkerific_co-ex_grande.jpg
Gatenplant Grandiflora King;placeholder;Laag;Schaduw;76;117.6;Kamerplanten;157;Lente;Paars;Nee;salvia_unplugged_white_mono.jpg;dahlia_virtuoso_rad_raz_tag_1.jpg;scaevola_whirlwind_white_12305_mono.jpg
Gatenplant Grandiflora Queen;placeholder;Gemiddeld;Schaduw;147;147.36;Buitenplanten;71;Herfst;Oranje;Ja;shade_garden_-cinnamon_toast.png;cuphea_totally_tempted_frosted_violet_grande_01.jpg;kindness.jpg
Gatenplant Grandiflora Gem;placeholder;Laag;Schaduw;272;111.66;Kamerplanten;28;Winter;Blauw;Ja;lobelia_laguna_royale_lilac_12818_mono.jpg;cuphea_totally_tempted_watermelon_wine_grande.jpg;dahlia_virtuoso_dayglo_yellow_grande.jpg
Gatenplant Grandiflora Delight;placeholder;Gemiddeld;Schaduw;283;150.16;Kamerplanten;37;Winter;Blauw;Nee;mother_earth-1201x1196-99fe97e.jpg;bold_symphony.png;scaevola_stardiva_blue_tag.jpg
Gatenplant Grandiflora Flame;placeholder;Hoog;Veel licht;284;58.4;Kamerplanten;20;Herfst;Blauw;Ja;supertunia_vista_cool_jazz_12821_tag.jpg;hearth_and_home.jpg;angelonia_angelface_white_tag_25.jpg
Gatenplant Grandiflora Mist;placeholder;Hoog;Halfschaduw;195;131.8;Kamerplanten;105;Winter;Paars;Nee;agastache_maestro_coral_co-ex_grande.jpg;cuphea_totally_tempted_frosted_violet_mono.jpg;scaevola_stardiva_pink_ecogrande.jpg
Gatenplant Grandiflora Pearl;placeholder;Gemiddeld;Veel licht;163;32.56;Buitenplanten;147;Lente;Paars;Nee;yard_makeover_121-600x400-d9c3bb2.jpg;dahlia_virtuoso_pinkerific_ecogrande.jpg;caladium_heart_to_heart_creme_brulee_12829_tag.jpg
Gatenplant Grandiflora Glow;placeholder;Laag;Veel licht;83;94.39;Buitenplanten;178;Herfst;Rood;Nee;cuphea_totally_tempted_frosted_violet_grande_01_0.jpg;dahlia_virtuoso_pinkerific_tag_0.jpg;scaevola_stardiva_white_ecogrande.jpg
Gatenplant Grandiflora Charm;placeholder;Hoog;Schaduw;176;83.26;Buitenplanten;6;Herfst;Wit;Ja;agastache_maestro_gold_mono.jpg;quaint_cottage.jpg;salvia_unplugged_white_mono.jpg
Gatenplant Grandiflora Dream;placeholder;Gemiddeld;Schaduw;96;116.37;Buitenplanten;149;Jaarrond;Rood;Ja;coleus_colorblaze_mini_me_chartreuse_tag_0.jpg;cuphea_totally_tempted_watermelon_wine_ecogrande.jpg;supertunia_bermuda_beach_ecogrande_25.jpg
Gatenplant Grandiflora Classic;placeholder;Hoog;Halfschaduw;46;4.07;Kamerplanten;20;Lente;Paars;Nee;hold_me_tight_recipe_in_legacy_stone_boston_urn_greige_stone_02.jpg;portulaca_mojave_fuchsia_co-ex_grande_25.jpg;capri_berry-1200x983-1a8c6ff.jpg
Gatenplant Grandiflora Royal;placeholder;Gemiddeld;Halfschaduw;28;161.34;Kamerplanten;50;Winter;Blauw;Nee;coleus_colorblaze_mini_me_chartreuse_mono.jpg;begonia_space_age_triton_macro_03.jpg;tropical_twist.jpg
Gatenplant Grandiflora Sunrise;placeholder;Laag;Schaduw;21;143.56;Buitenplanten;11;Jaarrond;Groen;Ja;only_vogue.jpg;scaevola_stardiva_white_mono.jpg;cuphea_totally_tempted_frosted_violet_tag.jpg
Gatenplant Grandiflora Sunset;placeholder;Hoog;Veel licht;37;79.91;Buitenplanten;11;Herfst;Paars;Ja;portulaca_mojave_mango_ecogrande.jpg;cuphea_totally_tempted_richly_red_grande.jpg;bohemian.jpg
Gatenplant Grandiflora Snow;placeholder;Laag;Halfschaduw;237;81.73;Tussenvariant;184;Winter;Blauw;Nee;dahlia_virtuoso_rad_raz_grande.jpg;chic_boutique_0.jpg;lobelia_laguna_royale_pink_12819_tag.jpg
